Human Target,GO Category,Drug(s),M. musculus,Similarity (%),G. gallus,Similarity (%),X. tropicalis,Similarity (%),X. laevis,Similarity (%),G. aculeatus,Similarity (%),D. rerio,Similarity (%),D. melanogaster,Similarity (%),D. pulex,Similarity (%),C. elegans,Similarity (%),A. thaliana,Similarity (%),C. reinhardtii,Similarity (%),D. discoideum,Similarity (%),S. cerevisiae,Similarity (%),T. thermophila,Similarity (%),E. coli,Similarity (%),S. elongatus,Similarity (%)
O00180|KCNK1_HUMAN Potassium channel subfamily K member 1 - Homo sapiens,Ion Channel,Ibutilide(DB00308),ENSMUSP00000046103|Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1). [Source:Uniprot/SWISSPROT;Acc:O08581],94.94,ENSGALP00000017899|Hypothetical protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q5ZLI4],89.88,"ENSXETP00000049347|Potassium channel, subfamily K, member 1. [Source:Uniprot/SPTREMBL;Acc:Q5HZV4]",53.87,"gi|147898933|ref|NP_001079438| 'similar to potassium channel, subfamily K, member 1 [Xenopus laevis]'",69.64,ENSGACP00000007722|Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1) (Potassium channel KCNO1). [Source:Uniprot/SWISSPROT;Acc:O00180],71.43,ENSDARP00000066258|hypothetical protein LOC793480 [Source:RefSeq_peptide;Acc:NP_001092223],69.35,"FBpp0073351 type=protein; loc=X:join(11364809..11364973,11368099..11368260,11368323..11368446,11368912..11369061,11369373..11369564,11369620..11369735,11369798..11369890,11369952..11370107); ID=FBpp0073351; name=CG1756-PA; parent=FBgn0030303,FBtr0073502; dbxref=FlyBase:FBpp0073351,FlyBase_Annotation_IDs:CG1756-PA,GB_protein:AAF48048.1,GB_protein:AAF48048; MD5=8b16130f3ab1cb54430f4ff9568d4830; length=385; release=r5.6; species=Dmel;",20.77,jgi|Dappu1|218276|estExt_Genewise1.C_1340023,36.74,Y39B6A.19 CE29861 WBGene00006696 locus:twk-46 status:Partially_confirmed TR:Q9NEV3 protein_id:CAD31817.1,29.82,"AT4G01840.1 | Symbols: ATTPK5, KCO5, ATKCO5 | KCO5 (Ca2+ activated outward rectifying K+ channel 5); outward rectifier potassium channel | chr4:793403-794933 FORWARD",14.93,jgi|Chlre3|144365,11.05,DDB0214952 |Protein| gene: potA on chromosome: 3 position 5660926 to 5663954,9.2,YJL093C|outward-rectifier potassium channel,13.08,3702.m00142 TTHERM_00145150 conserved hypothetical protein,11.7,b1250 putative potassium channel protein (kch) {Escherichia coli K12-MG1655},15.45,syc0846_c potassium channel protein {Synechococcus elongatus PCC 6301},9.12
"O00217|NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial precursor - Homo sapiens",Enzyme,NADH(DB00157),"ENSMUSP00000074600|NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial precursor (EC 1.6.5.3) (EC 1.6.99.3) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (Complex I-23kD) (CI-23kD). [Source:Uniprot/SWISSPROT;Acc:Q8K3J1]",89.15,"ENSGALP00000032130|NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial precursor (EC 1.6.5.3) (EC 1.6.99.3) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (Complex I-23kD) (CI-23kD) (TYKY subunit). [Source:Uniprot/SWISSPROT;Acc:O00217]",84.19,"ENSXETP00000045090|NADH dehydrogenase (Ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase). [Source:Uniprot/SPTREMBL;Acc:Q6DDC7]",78.1,gi|51593201|gb|AAH78569| 'MGC85457 protein [Xenopus laevis]',80,"ENSGACP00000021710|NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial precursor (EC 1.6.5.3) (EC 1.6.99.3) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (Complex I-23kD) (CI-23kD) (TYKY subunit). [Source:Uniprot/SWISSPROT;Acc:O00217]",80.95,"ENSDARP00000059226|NADH dehydrogenase (ubiquinone) Fe-S protein 8, (NADH-coenzyme Q reductase) [Source:RefSeq_peptide;Acc:NP_998304]",79.05,"FBpp0082645 type=protein; loc=3R:complement(11661847..11662008,11662077..11662528,11662712..11662751); ID=FBpp0082645; name=ND23-PA; parent=FBgn0017567,FBtr0083191; dbxref=FlyBase:FBpp0082645,FlyBase_Annotation_IDs:CG3944-PA,GB_protein:AAF55234.1,GB_protein:AAF55234; MD5=b5617657ee1d18fa21d4f386beaea808; length=217; release=r5.6; species=Dmel;",70.48,jgi|Dappu1|93364|fgenesh1_kg.C_scaffold_87000018,68.1,T20H4.5 CE00832 WBGene00020636 Mitochondrial complex I 23K chain status:Confirmed SW:Q22619 protein_id:AAA50662.1,67.3,"AT1G79010.1 | Symbols:  | NADH-ubiquinone oxidoreductase 23 kDa subunit, mitochondrial (TYKY) | chr1:29730031-29731826 REVERSE",63.33,jgi|Chlre3|132909,62.26,DDB0233205 |Protein| gene: ndufs8 on chromosome: 2 position 7741263 to 7742099,66.19,YOR356W|similar to human electron transfer flavoprotein-ubiquinone oxidoreductase,12.5,"3692.m00037 TTHERM_00294640 NADH-ubiquinone oxidoreductase 23 kDa subunit, mitochondrial precursor, putative",48.25,b2281 NADH dehydrogenase I chain I (nuoI) {Escherichia coli K12-MG1655},25.54,syc0209_c NADH dehydrogenase subunit NdhI (ndhI) {Synechococcus elongatus PCC 6301},11.9
O00222|GRM8_HUMAN Metabotropic glutamate receptor 8 precursor - Homo sapiens,Receptor,L-Glutamic Acid(DB00142),ENSMUSP00000110979|Metabotropic glutamate receptor 8 precursor (mGluR8). [Source:Uniprot/SWISSPROT;Acc:P47743],96.92,ENSGALP00000014160|Metabotropic glutamate receptor 8 precursor (mGluR8). [Source:Uniprot/SWISSPROT;Acc:O00222],94.05,ENSXETP00000045883|Metabotropic glutamate receptor 8 precursor (mGluR8). [Source:Uniprot/SWISSPROT;Acc:O00222],84.25,gi|148232936|ref|NP_001084496| 'putative pheromone receptor [Xenopus laevis]',20.43,ENSGACP00000011577|Metabotropic glutamate receptor 8 precursor (mGluR8). [Source:Uniprot/SWISSPROT;Acc:O00222],79.45,ENSDARP00000030907|hypothetical protein LOC565450 [Source:RefSeq_peptide;Acc:NP_001073489],70.44,"FBpp0088248 type=protein; loc=4:join(959056..959743,960800..961343,963393..963646,963729..963835,964174..964299,964360..964879,964932..965227,966851..967246); ID=FBpp0088248; name=mGluRA-PA; parent=FBgn0019985,FBtr0089184; dbxref=FlyBase:FBpp0088248,FlyBase_Annotation_IDs:CG11144-PA,GB_protein:AAF59402.1,GB_protein:AAF59402; MD5=3022f039c15b4e0a46edf5cb1019962c; length=976; release=r5.6; species=Dmel;",43.63,jgi|Dappu1|43476|e_gw1.6.386.1,41.38,ZC506.4a CE01682 WBGene00003232 locus:mgl-1 metatrophic glutamate receptor status:Predicted SW:Q09630 protein_id:CAA87374.1,35.11,"AT2G32400.1 | Symbols: GLR3.7, ATGLR3.7, GLR5 | GLR5 (Glutamate receptor 5) | chr2:13759742-13763310 REVERSE",10.85,jgi|Chlre3|196638,10.12,DDB0231976 |Protein| gene: grlE on chromosome: 6 position 173621 to 176169,13.25,YCL040W|glucokinase,10.66,151.m00059 TTHERM_00854210 hypothetical protein,11.39,b3456 high-affinity branched-chain amino acid transport (livM) {Escherichia coli K12-MG1655},8.81,syc2233_d periplasmic binding protein of ABC transporter for natural amino acids (natB) {Synechococcus elongatus PCC 6301},9.43
O00305|CACB4_HUMAN Voltage-dependent L-type calcium channel subunit beta-4 - Homo sapiens,Ion Channel,Verapamil(DB00661),ENSMUSP00000077438|Voltage-dependent L-type calcium channel subunit beta-4 (CAB4) (Calcium channel voltage-dependent subunit beta 4). [Source:Uniprot/SWISSPROT;Acc:Q8R0S4],98.27,"ENSGALP00000036967|calcium channel, voltage-dependent, beta 4 subunit isoform a [Source:RefSeq_peptide;Acc:NP_001001733]",89.62,ENSXETP00000046908|Voltage-dependent L-type calcium channel subunit beta-4 (CAB4) (Calcium channel voltage-dependent subunit beta 4). [Source:Uniprot/SWISSPROT;Acc:O00305],80.15,gi|992689|gb|AAA75519| 'voltage-dependent calcium channel beta subunit [Xenopus laevis]',61.76,ENSGACP00000019536|Voltage-dependent L-type calcium channel subunit beta-4 (CAB4) (Calcium channel voltage-dependent subunit beta 4). [Source:Uniprot/SWISSPROT;Acc:O00305],82.92,ENSDARP00000022331|Voltage-dependent calcium channel beta 4a subunit. [Source:Uniprot/SPTREMBL;Acc:A2SZ57],81,"FBpp0079806 type=protein; loc=2L:complement(11161265..11161290,11162984..11163098,11163222..11163389,11163453..11163937,11165585..11165678,11165745..11165966,11166027..11166143,11170368..11170439); ID=FBpp0079806; name=Ca-beta-PA; parent=FBgn0015608,FBtr0080217; dbxref=GB_protein:AAF53083.2,FlyBase:FBpp0079806,FlyBase_Annotation_IDs:CG6320-PA,GB_protein:AAF53083; MD5=c4aa1ce52ca3e6d6c213d11d913ceb2f; length=432; release=r5.6; species=Dmel;",47.95,jgi|Dappu1|52801|e_gw1.32.108.1,45.8,T28F2.5 CE39788 WBGene00000368 locus:ccb-1 calcium channel subunit status:Partially_confirmed TR:O01661 protein_id:AAB53056.2,43.89,AT3G61800.1 | Symbols:  | similar to unnamed protein product [Vitis vinifera] (GB:CAO14384.1); contains InterPro domain ENTH/VHS (InterPro:IPR008942) | chr3:22885698-22887821 REVERSE,12.37,jgi|Chlre3|168736,13.15,DDB0215355 |Protein| gene: myoC on chromosome: 2 position 7033317 to 7036976,10.31,YPL095C|alcohol acyl transferase,10.96,3716.m00053 TTHERM_00500780 Protein phosphatase 2C containing protein,9.04,"b0916 orf, hypothetical protein (ycaQ) {Escherichia coli K12-MG1655}",10.58,syc2282_c hypothetical protein {Synechococcus elongatus PCC 6301},10.3
O00341|EAA5_HUMAN Excitatory amino acid transporter 5 - Homo sapiens,Transporter,L-Glutamic Acid(DB00142),ENSMUSP00000102324|Excitatory amino acid transporter 5 (Solute carrier family 1 member 7). [Source:Uniprot/SWISSPROT;Acc:Q8JZR4],91.43,ENSGALP00000017343|Excitatory amino acid transporter 5 (Solute carrier family 1 member 7) (Retinal glutamate transporter). [Source:Uniprot/SWISSPROT;Acc:O00341],81.63,ENSXETP00000025563|Excitatory amino acid transporter 3 (Solute carrier family 1 member 1) (Sodium-dependent glutamate/aspartate transporter 3) (Excitatory amino-acid carrier 1) (Neuronal and epithelial glutamate transporter). [Source:Uniprot/SWISSPROT;Acc:P43005],42.48,gi|148222124|ref|NP_001083306| 'Excitatory amino acid transporter 1 [Xenopus laevis]',46.79,ENSGACP00000004409|Excitatory amino acid transporter 5 (Solute carrier family 1 member 7) (Retinal glutamate transporter). [Source:Uniprot/SWISSPROT;Acc:O00341],71.4,"ENSDARP00000063268|Novel protein similar to vertebrate solute carrier family 1 (Glutamate transporter), member 7 (SLC1A7) (Fragment). [Source:Uniprot/SPTREMBL;Acc:A2AWD8]",60.65,"FBpp0079402 type=protein; loc=2L:join(9338155..9338339,9338426..9338521,9338588..9338755,9338818..9338860,9339514..9339556,9339620..9339803,9339866..9339996,9340059..9340488,9340544..9340640,9340700..9340762); ID=FBpp0079402; name=Eaat1-PC; parent=FBgn0026439,FBtr0079802; dbxref=FlyBase:FBpp0079402,FlyBase_Annotation_IDs:CG3747-PC,GB_protein:AAN10692.1,GB_protein:AAN10692; MD5=7e65466da663e1cc752c3b72da3bb6f6; length=479; release=r5.6; species=Dmel;",36.46,jgi|Dappu1|11662|gw1.74.38.1,38.19,C12D12.2b CE29084 WBGene00001620 locus:glt-1 status:Confirmed SW:Q10901 protein_id:AAL00858.1,43.85,AT1G25540.1 | Symbols: PFT1 | PFT1 (PHYTOCHROME AND FLOWERING TIME 1) | chr1:8969379-8974433 REVERSE,11.94,jgi|Chlre3|143076,29.2,DDB0185540 |Protein| gene: BC4V2_0_00299 on chromosome: 4 position 738038 to 744476,11.05,"YBR015C|alpha-1,2-mannosyltransferase (predicted)",11.45,3711.m00054 TTHERM_00492830 Dynein heavy chain family protein,8.85,b4077 glutamate-aspartate symport protein (gltP) {Escherichia coli K12-MG1655},21.53,syc1128_c hypothetical protein {Synechococcus elongatus PCC 6301},13.21
"O00408|PDE2A_HUMAN cGMP-dependent 3',5'-cyclic phosphodiesterase - Homo sapiens",Enzyme,"Sildenafil(DB00203), Sulindac(DB00605)","ENSMUSP00000081956|cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE). [Source:Uniprot/SWISSPROT;Acc:Q922S4]",93.1,"ENSGALP00000014983|Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A (EC 3.1.4.17) (EC 3.1.4.35) (cAMP and cGMP phosphodiesterase 11A). [Source:Uniprot/SWISSPROT;Acc:Q9HCR9]",24.87,"ENSXETP00000026796|cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE). [Source:Uniprot/SWISSPROT;Acc:O00408]",64.73,gi|54038670|gb|AAH84276| 'LOC495103 protein [Xenopus laevis]',22.9,"ENSGACP00000010240|cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE). [Source:Uniprot/SWISSPROT;Acc:O00408]",55.04,ENSDARP00000087859,23.9,"FBpp0111457 type=protein; loc=2L:complement(18533335..18534459,18534518..18534601,18534661..18534877,18534940..18535128,18535185..18535294,18535361..18535528,18535586..18535672,18536814..18536990,18537166..18537687,18538030..18538185,18539523..18539673,18540629..18540768,18541185..18541620,18541857..18542003,18543262..18543715,18565377..18565437); ID=FBpp0111457; name=Pde11-PC; parent=FBgn0085370,FBtr0112545; dbxref=GB_protein:AAF53676,FlyBase_Annotation_IDs:CG34341-PC,FlyBase:FBpp0111457; MD5=8127ce6feb6fda58364141a008a6ecbd; length=1407; release=r5.6; species=Dmel;",25.75,jgi|Dappu1|303149|PASA_GEN_0200260,32.6,R08D7.6b CE35750 WBGene00011146 locus:pde-2 status:Confirmed SW:P30645 protein_id:CAE47469.1,21.9,AT3G62000.1 | Symbols:  | O-methyltransferase family 3 protein | chr3:22970416-22972155 REVERSE,5.53,jgi|Chlre3|114709,8.28,DDB0191479 |Protein| gene: regA on chromosome: 4 position 1956975 to 1959735,15.52,"YOR360C|high affinity 3',5'-cAMP phosphodiesterase",10.1,3700.m00048 TTHERM_00148930 3'5'-cyclic nucleotide phosphodiesterase family protein,14.32,"b2829 PTS system, enzyme I, transcriptional regulator (with NPR and NTR proteins) (ptsP) [2.7.3.9] {Escherichia coli K12-MG1655}",11.48,syc2098_c hypothetical protein {Synechococcus elongatus PCC 6301},4.97
O00443|P3C2A_HUMAN Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing alpha polypeptide - Homo sapiens,Enzyme,Phosphatidylserine(DB00144),ENSMUSP00000081710|P3C2A_MOUSE Isoform 2 of Q61194 - Mus musculus (Mouse) [Source:Uniprot/Varsplic;Acc:Q61194-2],88.15,ENSGALP00000009863|Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing alpha polypeptide (EC 2.7.1.154) (Phosphoinositide 3-Kinase-C2-alpha) (PtdIns-3-kinase C2 alpha) (PI3K-C2alpha). [Source:Uniprot/SWISSPROT;Acc:O00443],74.69,ENSXETP00000034942|Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing alpha polypeptide (EC 2.7.1.154) (Phosphoinositide 3-Kinase-C2-alpha) (PtdIns-3-kinase C2 alpha) (PI3K-C2alpha). [Source:Uniprot/SWISSPROT;Acc:O00443],67.92,gi|6525041|gb|AAF15300| 'phosphoinositide 3 kinase catalytic subunit [Xenopus laevis]',12.91,ENSGACP00000008939|Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing alpha polypeptide (EC 2.7.1.154) (Phosphoinositide 3-Kinase-C2-alpha) (PtdIns-3-kinase C2 alpha) (PI3K-C2alpha). [Source:Uniprot/SWISSPROT;Acc:O00443],58.26,"ENSDARP00000080566|Novel protein similar to vertebrate phosphoinositide-3-kinase, class 2, alpha polypeptide (PIK3C2A). [Source:Uniprot/SPTREMBL;Acc:Q1L913]",58.46,"FBpp0075819 type=protein; loc=3L:complement(11768824..11769003,11769064..11769213,11769276..11769367,11769430..11769626,11773778..11773978,11774036..11774428,11774491..11774927,11774984..11775229,11775324..11775963,11776028..11776598,11776660..11777293,11777355..11777443,11777502..11778215,11780158..11780210,11780279..11781312); ID=FBpp0075819; name=Pi3K68D-PA; parent=FBgn0015278,FBtr0076088; dbxref=FlyBase:FBpp0075819,FlyBase_Annotation_IDs:CG11621-PA,GB_protein:AAF50011.1,GB_protein:AAF50011; MD5=f5370285a4b32d4c9503b3669ea9f7c9; length=1876; release=r5.6; species=Dmel;",28.8,jgi|Dappu1|303261|PASA_GEN_0200406,30.2,F39B1.1 CE05832 WBGene00009552 phosphatidylinositol 3-kinase like status:Partially_confirmed TR:Q20187 protein_id:CAA93776.1,24.6,AT1G60490.1 | Symbols: ATVPS34 | ATVPS34 (Arabidopsis thaliana vacuolar protein sorting 34); 1-phosphatidylinositol-3-kinase | chr1:22289457-22293855 REVERSE,11.86,jgi|Chlre3|113185,7.82,DDB0214949 |Protein| gene: pikA on chromosome: 3 position 1154369 to 1159209,18.53,YLR240W|phosphatidylinositol 3-kinase,11.26,175.m00071 TTHERM_00951960 Phosphatidylinositol 3- and 4-kinase family protein,16.23,b3325 putative general protein secretion protein (yheF) {Escherichia coli K12-MG1655},6.58,syc1665_d ABC-type phosphate transport ATP-binding protein (pstB) {Synechococcus elongatus PCC 6301},2.9
"O00469|PLOD2_HUMAN Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 precursor - Homo sapiens",Enzyme,Vitamin C(DB00126),"ENSMUSP00000068611|Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 precursor (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2). [Source:Uniprot/SWISSPROT;Acc:Q9R0B9]",90.23,"ENSGALP00000010958|Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 precursor (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2). [Source:Uniprot/SWISSPROT;Acc:O00469]",77.7,"ENSXETP00000003432|Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 precursor (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2). [Source:Uniprot/SWISSPROT;Acc:O00469]",68.42,gi|54648179|gb|AAH85074| 'LOC495489 protein [Xenopus laevis]',61.98,"ENSGACP00000004893|Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 precursor (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2). [Source:Uniprot/SWISSPROT;Acc:O00469]",69.47,"ENSDARP00000097266|procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:RefSeq_peptide;Acc:NP_001082933]",68.93,"FBpp0075918 type=protein; loc=3L:complement(11191526..11191810,11191870..11192304,11192366..11192492,11195315..11195440,11195500..11195601,11195722..11195975,11196043..11196574,11196633..11196772,11198005..11198090,11198834..11198912); ID=FBpp0075918; name=CG6199-PB; parent=FBgn0036147,FBtr0076188; dbxref=GB_protein:AAN11883.1,FlyBase:FBpp0075918,FlyBase_Annotation_IDs:CG6199-PB,GB_protein:AAN11883; MD5=e3a7c91f0f47dd6eb183a5e0e6789562; length=721; release=r5.6; species=Dmel;",42.18,jgi|Dappu1|217067|estExt_Genewise1.C_940068,46.02,"F52H3.1 CE03397 WBGene00002497 locus:let-268 procollagen-lysine,2-oxoglutarate 5-dioxygenase precusor status:Partially_confirmed SW:Q20679 protein_id:CAA91321.1",41.07,"AT3G18210.2 | Symbols:  | oxidoreductase, 2OG-Fe(II) oxygenase family protein | chr3:6238270-6240402 REVERSE",7.19,No Hit,0,DDB0238123 |Protein| gene: geneDDB0238123 on chromosome: 1 position 4659316 to 4660875,8.01,YPL007C|TFIIIC subunit,10.84,240.m00044 TTHERM_01114140 hypothetical protein,9.82,"b0371 orf, hypothetical protein (yaiT) {Escherichia coli K12-MG1655}",11.11,syc0466_c probable glycosyltransferase {Synechococcus elongatus PCC 6301},10.04
O00483|NDUA4_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 - Homo sapiens,Enzyme,NADH(DB00157),ENSMUSP00000031637|NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 (NADH- ubiquinone oxidoreductase MLRQ subunit) (Complex I-MLRQ) (CI-MLRQ). [Source:Uniprot/SWISSPROT;Acc:Q62425],87.8,ENSGALP00000017405|NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 (NADH- ubiquinone oxidoreductase MLRQ subunit) (Complex I-MLRQ) (CI-MLRQ). [Source:Uniprot/SWISSPROT;Acc:O00483],75.61,ENSXETP00000018043|NADH-ubiquinone oxidoreductase MLRQ subunit (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-MLRQ) (CI-MLRQ). [Source:Uniprot/SWISSPROT;Acc:O00483] [from human gene ENSG00000189043],57.32,gi|148222741|ref|NP_001085501| 'MGC80253 protein [Xenopus laevis]',59.76,ENSGACP00000009376|NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 (NADH- ubiquinone oxidoreductase MLRQ subunit) (Complex I-MLRQ) (CI-MLRQ). [Source:Uniprot/SWISSPROT;Acc:O00483],68.29,ENSDARP00000055018|NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 (EC 1.6.5.3) (EC 1.6.99.3). [Source:Uniprot/SWISSPROT;Acc:Q6PBH5],73.17,"FBpp0070040 type=protein; loc=3L:join(23332535..23332576,23332634..23332780,23334557..23334619); ID=FBpp0070040; name=CG32230-PB; parent=FBgn0052230,FBtr0070041; dbxref=GB_protein:AAN11412.1,FlyBase:FBpp0070040,FlyBase_Annotation_IDs:CG32230-PB,GB_protein:AAN11412; MD5=2f4379d0843771a3cd2016f06945f9e5; length=83; release=r5.6; species=Dmel;",51.22,jgi|Dappu1|231182|estExt_fgenesh1_kg.C_440004,48.78,F22E12.4b CE31342 WBGene00001178 locus:egl-9 status:Confirmed TR:Q8MM35 protein_id:CAD44157.1,18.8,AT5G60760.1 | Symbols:  | 2-phosphoglycerate kinase-related | chr5:24455691-24459230 FORWARD,21.98,jgi|Chlre3|191336,17.33,DDB0252630 |Protein| gene: geneDDB0252630 on chromosome: 2 position 3101107 to 3104001,14.29,YLR430W|DNA2/NAM family DEAD-box type RNA helicase,16.25,3718.m00104 TTHERM_00537150 hypothetical protein,15.08,b2098 putative nucleoside permease protein (yegT) {Escherichia coli K12-MG1655},15.88,syc0552_c hypothetical protein {Synechococcus elongatus PCC 6301},18.81
O00519|FAAH1_HUMAN Fatty-acid amide hydrolase 1 - Homo sapiens,Enzyme,"Thiopental(DB00599), Propofol(DB00818)",ENSMUSP00000041543|Fatty-acid amide hydrolase 1 (EC 3.1.-.-) (Oleamide hydrolase 1) (Anandamide amidohydrolase 1). [Source:Uniprot/SWISSPROT;Acc:O08914],83.94,ENSGALP00000016970|Fatty-acid amide hydrolase 1 (EC 3.1.-.-) (Oleamide hydrolase 1) (Anandamide amidohydrolase 1). [Source:Uniprot/SWISSPROT;Acc:O00519],54.64,ENSXETP00000009507|Fatty-acid amide hydrolase 1 (EC 3.1.-.-) (Oleamide hydrolase 1) (Anandamide amidohydrolase 1). [Source:Uniprot/SWISSPROT;Acc:O00519],51.29,gi|120538313|gb|AAI29733| 'LOC100036968 protein [Xenopus laevis]',47.86,ENSGACP00000015688|Fatty-acid amide hydrolase 1 (EC 3.1.-.-) (Oleamide hydrolase 1) (Anandamide amidohydrolase 1). [Source:Uniprot/SWISSPROT;Acc:O00519],48.45,ENSDARP00000037509|Fatty-acid amide hydrolase 2-A (EC 3.1.-.-). [Source:Uniprot/SWISSPROT;Acc:Q6DH69],18.65,"FBpp0112116 type=protein; loc=3R:join(3919871..3920050,3925746..3926189,3926255..3926950,3927240..3927530); ID=FBpp0112116; name=CG7900-PB; parent=FBgn0037548,FBtr0113204; dbxref=FlyBase:FBpp0112116,FlyBase_Annotation_IDs:CG7900-PB,GB_protein:AAF54190; MD5=6c9b51a50a57ffe003ae79c56ce43811; length=536; release=r5.6; species=Dmel;",22.85,jgi|Dappu1|210998|estExt_Genewise1.C_190311,30.51,B0218.1a CE06684 WBGene00015047 amidase status:Partially_confirmed TR:Q17449 protein_id:AAB00667.1,36.1,"AT3G25660.1 | Symbols:  | glutamyl-tRNA(Gln) amidotransferase, putative | chr3:9340877-9343281 REVERSE",18.13,jgi|Chlre3|188401,18.64,DDB0187169 |Protein| gene: BC4V2_0_01974 on chromosome: 4 position 5011319 to 5012971,14.26,YDR242W|putative amidase,22.82,38.m00190 TTHERM_00361400 Amidase family protein,26.48,b3597 putative membrane protein (yibH) {Escherichia coli K12-MG1655},11.57,syc1975_d glutamyl-tRNA(Gln) amidotransferase subunit A (gatA) {Synechococcus elongatus PCC 6301},18.07
